Question	Options
(b) 10(c) 12(d) 16"12 / (3 + √5 + 2√2) is equal to (1) 1 - √5 + √2 + √10 (2) 1 + √5 + √2 - √10 (3) 1 + √5 - √2 + √10 (4) 1 - √5 - √2 + √10	
The expression √(10 + 2(√6 - √15 - √10)) is equal to :	"(a) √3 - √2 - √5
(b) √2 - √3 - √5(c) √3 - √2 + √5(d) √3 + √2 - √5"(15(√10 + √5)) / (√10 + √20 + √40 - √5 - √80) is equal SSC CGL Tier II (15/10/2020)	"(a) 5 + 2√2
(b) 5 - 2√5(c) 5(3 + 2√2)(d) 10(3 + 2√5)"If (√2 + √5 - √3) × k = -12, then what will be	
the value of k ?	"(a) √2 + √5 + √3
(b) (√2 + √5 - √3)(2 + √5)(c) (√2 + √5 + √3)(2 - √5)(d) (√2 + √5 + √3)(2 - √10)"If 4 / (1 + √2 + √3) = a + b√2 + c√3 - d√6 , where a, b, c, d are natural numbers, then the value of a + b + c + d is:	"(a) 4
(b) 1(c) 2(d) 0"1 / (4 - √15) - 1 / (√15 - √14) + 1 / (√14 - √13) -	
1 / (√13 - √12) + 1 / (√12 - √11) - 1 / (√11 - √10) + 1 / (√10 - 3) - 1 / (3 - √8) is: SSC CGL Tier II (29/01/2022)	"(a) 4 - 2√2
(b) 2 + 2√2(c) 4 + 2√2(d) 2 - 2√2"1 / (√9 - √8) - 1 / (√8 - √7) + 1 / (√7 - √6) - 1 / (√6 - √5) + 1 / (√5 - √4) is equal to (1) 5 (2) 1 (3) 3 (4) 0	
1 / (√7 - √6) - 1 / (√6 - √5) + 1 / (√5 - 2) - 1 / (√8 - √7) + 1 / (3 - √8) is (1) 7 (2) 0 (3) 1 (4) 5	
The value of 1 / (√2 + 1) + 1 / (√3 + √2) + 1 / (√4 + √3) + .... + 1 / (√100 + √99) is (1) 1 (2) 9 (3) √99 (4) √99 - 1	
1 / (√100 - √99) - 1 / (√99 - √98) +	
1 / (√98 - √97) - 1 / (√97 - √96) + .... +	
1 / (√2 - √1) (1) 0 (2) 9 (3) 10 (4) 11	
Which of the following number is	
the least? (0.5)², √(0.49), ³√(0.008), 0.23 (1) (0.5)² (2) √(0.49) (3) ³√(0.008) (4) 0.23	
Which of the following statement(s) is/are TRUE ? I. √(64) + √(0.0064) + √(0.81) + √(0.0081) = 9.07 II. √(0.010201) + √(98.01) + √(0.25) = 11.51	"(a) Only I
(b) Only II(c) Both I and II(d) Neither I nor II"Which of the following statement(s) is/are TRUE ? I. (0.7)² + (0.07)² + (11.1)² > 123.8 II. (1.12)² + (10.3)² + (1.05)² > 108.3	"(a) Only I
(b) Only II(c) Both I and II(d) Neither I nor II"Arrange the following in descending order : ³√4 , √2 , ⁶√3 , ⁴√5 (1) ³√4 > ⁴√5 > √2 > ⁶√3 (2) ⁴√5 > ³√4 > ⁶√3 > √2 (3) √2 > ⁶√3 > ³√4 > ⁴√5 (4) ⁶√3 > ⁴√5 > ³√4 > √2	
The greatest of the numbers ²√8 , ⁴√13 , ⁵√16 , ¹⁰√41 is: (1) ⁴√13 (2) ⁵√16 (3) ¹⁰√41 (4) ²√8	
The greatest among the numbers 3√2 , 3√7, 6√5, 2√20 is (1) 3√2 (2) 3√7 (3) 6√5 (4) 2√20	
The greatest number among 2⁶⁰, 3⁴⁸, 4³⁶ and 5²⁴ is (1) 2⁶⁰ (2) 3⁴⁸ (3) 4³⁶ (4) 5²⁴	
The greatest number among 3⁵⁰, 4⁴⁰, 5³⁰ and 6²⁰ is (1) 3⁵⁰ (2) 4⁴⁰ (3) 5³⁰ (4) 6²⁰	
Which of the following statement(s) is/are TRUE ? I. 33³ > 3³³ II. 333 > (3³)³	"(a) Only I
(b) Only II(c) Both I and II(d) Neither I nor II"Which of the follwing fractions are in descend ing order? निम्न में से कौन सी शभन्नें अवरोही क्रमिें हैं?	"(A) 5/8 , 7/12 , 3/4 , 13/16
(B) 7/12 , 13/16 , 3/4 , 5/8(C) 5/8 , 7/12 , 13/16 , 3/4(D) 13/16 , 3/4 , 5/8 , 7/12"Which of the follwing fractions are in descend ing order? निम्न में से कौन सी शभन्नें अवरोही क्रमिें हैं? 5/6 , 3/7 , 8/9 , 3/14	"(A) 8/9 , 5/6 , 3/7 , 3/14
(B) 8/9 , 3/14 , 3/7 , 5/6(C) 5/6 , 8/9 , 3/7 , 3/14(D) 3/7 , 8/9 , 5/6 , 3/14"Which of the following is true ?	"(A) 12/43 < 32/67 < 45/81 < 22/55
(B) 12/43 < 22/55 < 45/81 < 32/67(C) 12/43 < 32/67 < 22/55 < 45/81(D) 12/43 < 22/55 < 32/67 < 45/81"Which one of the following is	
the largest number among 2222², 222², 22²²², 2²²²²?	
Which of the following statement(s) is/are TRUE ? I. √12 > ³√16 > ⁴√24 II. ³√25 > ⁴√32 > ⁶√48 III. ⁴√9 > ³√15 > ⁶√24	"(a) Only I and II
(b) Only I and III(c) Only I(d) All are true"If A = 2³², B = 2³¹ + 2³⁰ + 2²⁹ +...+ 2⁰ and C = 3¹⁵ + 3¹⁴ + 3¹³ + ....+ 3⁰, then which of the following option is TRUE ?	"(a) C > B > A
(b) C > A > B(c) A > B > C(d) A > C > B"If P = 2²⁹ × 3²¹ × 5⁸, Q = 2²⁷ × 3²¹ × 5⁸, R = 2²⁶ × 3²² × 5⁸ and S = 2²⁵ × 3²² × 5⁹, then which of	
the following is TRUE ?	"(a) P > S > R > Q
(b) S > P > R > Q(c) P > R > S > Q(d) S > P > Q > R"Which is the greatest among (√19 - √17), (√13 - √11) , (√7 - √5) and (√5 - √3) ? (1) √19 - √17 (2) √13 - √11 (3) √7 - √5 (4) √5 - √3	
Which one among the following is the smallest?	"(a) √301 - √299
(b) √401 - √399(c) √101 - √99(d) √201 - √199"Which of the following statement(s) is/are TRUE ? I. √5 + √5 > √7 + √3 II. √6 + √7 > √8 + √5 III. √3 + √9 > √6 + √6	"(a) Only I
(b) Only I and II(c) Only II and III(d) Only I and III"The smallest of √8 + √5 ,	
√7 + √6 , √10 + √3 and	
√11 + √2 is : (1) √8 + √5 (2) √7 + √6 (3) √10 + √3 (4) √11 + √2	
